기준년월,행정동코드,행정동명,연령대,평균이용금액,평균이용건수
202512,2623054000,부산진구 연지동,20대미만,860997,96
202512,2623054000,부산진구 연지동,30대,24027023,1124
202512,2623054000,부산진구 연지동,40대,45735041,1620
202512,2623054000,부산진구 연지동,50대,41629602,1691
202512,2623054000,부산진구 연지동,60대이상,61076297,2264
202512,2623055000,부산진구 초읍동,20대,15404324,1042
202512,2623055000,부산진구 초읍동,20대미만,1414109,173
202512,2623055000,부산진구 초읍동,30대,35082664,1543
202512,2623055000,부산진구 초읍동,40대,64064968,2233
202512,2623055000,부산진구 초읍동,50대,68597903,2444
202512,2623055000,부산진구 초읍동,60대이상,100303224,3359
202512,2623056000,부산진구 양정1동,20대,42192510,2830
202512,2623056000,부산진구 양정1동,20대미만,3474834,370
202512,2623056000,부산진구 양정1동,30대,64651629,2641
202512,2623056000,부산진구 양정1동,40대,79116107,2469
202512,2623056000,부산진구 양정1동,50대,102449001,3312
202512,2623056000,부산진구 양정1동,60대이상,117118175,3500
202512,2623057000,부산진구 양정2동,20대,24902526,1579
202512,2623057000,부산진구 양정2동,20대미만,1120447,106
202512,2623057000,부산진구 양정2동,30대,63639069,2427
202512,2623057000,부산진구 양정2동,40대,80836806,2221
202512,2623057000,부산진구 양정2동,50대,99142070,2490
202512,2623057000,부산진구 양정2동,60대이상,151314695,2626
202512,2623060000,부산진구 전포1동,20대,228308404,7908
202512,2623060000,부산진구 전포1동,20대미만,12948422,635
202512,2623060000,부산진구 전포1동,30대,164199948,5075
202512,2623060000,부산진구 전포1동,40대,108218129,2610
202512,2623060000,부산진구 전포1동,50대,74525517,2246
202512,2623060000,부산진구 전포1동,60대이상,50980256,1472
202512,2623061000,부산진구 전포2동,20대,69967780,2482
202512,2623061000,부산진구 전포2동,20대미만,2782687,153
202512,2623061000,부산진구 전포2동,30대,76850812,2555
202512,2623061000,부산진구 전포2동,40대,74494758,2034
202512,2623061000,부산진구 전포2동,50대,69296468,2172
202512,2623061000,부산진구 전포2동,60대이상,82619061,2484
202512,2623064000,부산진구 부암1동,20대,26429280,936
202512,2623064000,부산진구 부암1동,20대미만,1301418,103
202512,2623064000,부산진구 부암1동,30대,78980731,1941
202512,2623064000,부산진구 부암1동,40대,100950103,2036
202512,2623064000,부산진구 부암1동,50대,112353297,1973
202512,2623064000,부산진구 부암1동,60대이상,139414069,2113
202512,2623066000,부산진구 부암3동,20대,8752283,640
202512,2623066000,부산진구 부암3동,20대미만,833678,81
202512,2623066000,부산진구 부암3동,30대,21598368,953
202512,2623066000,부산진구 부암3동,40대,37915625,1379
202512,2623066000,부산진구 부암3동,50대,41401730,1494
202512,2623066000,부산진구 부암3동,60대이상,50515460,1808
202512,2623067000,부산진구 당감1동,20대,17697754,991
202512,2623067000,부산진구 당감1동,20대미만,2367160,162
202512,2623067000,부산진구 당감1동,30대,33905444,1479
202512,2623067000,부산진구 당감1동,40대,64416498,2330
202512,2623067000,부산진구 당감1동,50대,93805895,3672
202512,2623067000,부산진구 당감1동,60대이상,155247406,5742
202512,2623068000,부산진구 당감2동,20대,9919147,623
202512,2623068000,부산진구 당감2동,20대미만,587504,49
202512,2623068000,부산진구 당감2동,30대,23054764,944
202512,2623068000,부산진구 당감2동,40대,37447892,1084
202512,2623068000,부산진구 당감2동,50대,52306140,1243
202512,2623068000,부산진구 당감2동,60대이상,122167996,1832
202512,2623070000,부산진구 당감4동,20대,14489675,690
202512,2623070000,부산진구 당감4동,20대미만,999800,85
202512,2623070000,부산진구 당감4동,30대,28619710,766
202512,2623070000,부산진구 당감4동,40대,45775099,1134
202512,2623070000,부산진구 당감4동,50대,58727515,1498
202512,2623070000,부산진구 당감4동,60대이상,71479531,1796
202512,2623071000,부산진구 가야1동,20대,28346531,2588
202512,2623071000,부산진구 가야1동,20대미만,3426018,427
202512,2623071000,부산진구 가야1동,30대,35151673,1285
202512,2623071000,부산진구 가야1동,40대,55824281,1718
202512,2623071000,부산진구 가야1동,50대,61163548,2211
202512,2623071000,부산진구 가야1동,60대이상,71624785,2474
202512,2623072000,부산진구 가야2동,20대,13579196,757
202512,2623072000,부산진구 가야2동,20대미만,873660,87
202512,2623072000,부산진구 가야2동,30대,25703969,829
202512,2623072000,부산진구 가야2동,40대,34138599,1037
202512,2623072000,부산진구 가야2동,50대,44244055,1380
202512,2623072000,부산진구 가야2동,60대이상,57950438,1640
202512,2623074000,부산진구 개금1동,20대,48288603,2490
202512,2623074000,부산진구 개금1동,20대미만,2558262,211
202512,2623074000,부산진구 개금1동,30대,85280019,2837
202512,2623074000,부산진구 개금1동,40대,107141477,3210
202512,2623074000,부산진구 개금1동,50대,133574582,4170
202512,2623074000,부산진구 개금1동,60대이상,175042799,5296
202512,2623075000,부산진구 개금2동,20대,13526798,508
202512,2623075000,부산진구 개금2동,20대미만,699577,24
202512,2623075000,부산진구 개금2동,30대,37747329,763
202512,2623075000,부산진구 개금2동,40대,68728295,949
202512,2623075000,부산진구 개금2동,50대,90515379,1283
202512,2623075000,부산진구 개금2동,60대이상,215327875,2389
202512,2623076000,부산진구 개금3동,20대,11694947,1067
202512,2623076000,부산진구 개금3동,20대미만,1562770,211
202512,2623076000,부산진구 개금3동,30대,21231678,965
202512,2623076000,부산진구 개금3동,40대,43617282,1455
202512,2623076000,부산진구 개금3동,50대,55826048,2092
202512,2623076000,부산진구 개금3동,60대이상,69306091,2609
202512,2623077000,부산진구 범천1동,20대,47743422,1940
202512,2623077000,부산진구 범천1동,20대미만,1256879,110
202512,2623077000,부산진구 범천1동,30대,114154642,2830
202512,2623077000,부산진구 범천1동,40대,107989258,2687
202512,2623077000,부산진구 범천1동,50대,168446123,3478
202512,2623077000,부산진구 범천1동,60대이상,234396637,4849
202512,2623078000,부산진구 범천2동,20대,9281230,624
202512,2623078000,부산진구 범천2동,20대미만,438124,52
202512,2623078000,부산진구 범천2동,30대,20904253,1023
202512,2623078000,부산진구 범천2동,40대,26788379,963
202512,2623078000,부산진구 범천2동,50대,35036589,1118
