연번,신고일시,신고위치 지번주소,위도,경도,위반구분,과태료부과여부,데이터기준일자
195,2024-02-07 20:20,부산광역시 사하구 괴정동 1295,35.09768249 ,128.98021504 ,횡단보도,Y,2025-12-01
196,2024-02-07 18:19,부산광역시 사하구 다대동 87,35.06607120 ,128.98112999 ,교차로,Y,2025-12-01
197,2024-02-07 21:31,부산광역시 사하구 감천동 824-22,35.09265529 ,128.99417838 ,소방시설 주변,Y,2025-12-01
198,2024-02-07 07:25,부산광역시 사하구 괴정동 산 75-5,35.09612319 ,128.99564190 ,교차로,Y,2025-12-01
199,2024-02-07 18:39,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,횡단보도,Y,2025-12-01
200,2024-02-07 23:47,부산광역시 사하구 신평동 7-1,35.09397255 ,128.97453290 ,보도(인도)위,Y,2025-12-01
201,2024-02-07 20:30,부산광역시 사하구 다대동 1552-4,35.04845729 ,128.96626565 ,보도(인도)위,Y,2025-12-01
202,2024-02-07 21:27,부산광역시 사하구 하단동 884,35.10776731 ,128.95916109 ,보도(인도)위,Y,2025-12-01
203,2024-02-07 14:56,부산광역시 사하구 하단동 1161-2,35.11148075 ,128.95891539 ,횡단보도,Y,2025-12-01
204,2024-02-07 17:02,부산광역시 사하구 감천동 763-33,35.08439063 ,128.99785552 ,버스정류장 주변,Y,2025-12-01
205,2024-02-08 20:48,부산광역시 사하구 괴정동 384-1,35.10072609 ,128.99956111 ,횡단보도,Y,2025-12-01
206,2024-02-08 18:46,부산광역시 사하구 다대동 87,35.06607120 ,128.98112999 ,교차로,Y,2025-12-01
207,2024-02-08 08:04,부산광역시 사하구 괴정동 383,35.10009467 ,128.99985382 ,횡단보도,Y,2025-12-01
208,2024-02-08 17:44,부산광역시 사하구 하단동 524-44,35.10659639 ,128.96272542 ,보도(인도)위,Y,2025-12-01
209,2024-02-08 06:45,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
210,2024-02-08 15:39,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
211,2024-02-08 19:03,부산광역시 사하구 하단동 525-6,35.10657517 ,128.96486916 ,보도(인도)위,Y,2025-12-01
212,2024-02-08 16:59,부산광역시 사하구 괴정동 950-1,35.09836185 ,128.99373984 ,횡단보도,Y,2025-12-01
213,2024-02-07 20:48,부산광역시 사하구 하단동 591,35.10533645 ,128.96109403 ,횡단보도,Y,2025-12-01
214,2024-02-07 13:25,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,횡단보도,Y,2025-12-01
215,2024-02-07 18:16,부산광역시 사하구 다대동 1437,35.06870530 ,128.97809382 ,횡단보도,Y,2025-12-01
216,2024-02-07 10:27,부산광역시 사하구 하단동 76,35.10325329 ,128.97053193 ,버스정류장 주변,Y,2025-12-01
217,2024-02-07 17:55,부산광역시 사하구 하단동 870-19,35.10909883 ,128.95982859 ,교차로,Y,2025-12-01
218,2024-02-07 22:23,부산광역시 사하구 하단동 1217-5,35.11951592 ,128.96127071 ,횡단보도,Y,2025-12-01
219,2024-02-07 18:37,부산광역시 사하구 신평동 646,35.09418276 ,128.96094054 ,다리위,Y,2025-12-01
220,2024-02-07 13:37,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,교차로,Y,2025-12-01
