관리번호,분류,데이터명,원본,발췌,단순집계,응용집계,시각화,기간,컬럼수,주요컬럼
TOU004,관광,관광지 방문객(유입지별·월)월별 관광지 방문객 데이터(유입지별),X,X,X,O,O,202301~202404,8,기준년월 / 관광지코드 / 관광지명칭 / 유입지코드 / 유입지 시도명 / 유입지 시군구명 / 유입지 행정동명 / 적재일자
TOU005,관광,관광지 방문객(국적별·월)월별 관광지 방문객 데이터(국적별),X,X,X,O,O,202301~202404,5,기준년월 / 관광지코드 / 관광지명칭 / 방문자국적 / 적재일자
TOU006,관광,관광지 코드관광지 코드 목록(좌표 포함),X,X,X,O,O,202301~202404,3,관광지코드 / 관광지명칭 / 적재일자
TOU007,관광,지역 업종 규모 사업체 합계상권 지역별 업종별 통계,O,O,O,O,O,202112~202312,8,기준년월 / 행정동 코드 / 집계구 코드 / 표준산업분류코드 / 표준산업분류코드 명칭 / 종사자 규모 구분 / 매출액 규모 / 사업자 수
TOU008,관광,관광지 방문통계관광지별 월 단위 총 방문객 통계,O,O,O,O,O,202007~202309,5,기준년월 / 관광지 코드 / 관광지 명칭 / 방문자 통계 분류 / 방문자 수
TOU009,관광,관광지 연령 방문통계관광지별 월 단위 연령별 방문객 통계,O,O,O,O,O,202007~202309,5,기준년월 / 관광지 코드 / 관광지 명칭 / 방문자 통계 분류 / 방문자 수
TOU010,관광,관광지 유입지 방문통계관광지별 월 단위 유입지별 방문객 통계,O,O,O,O,O,202007~202309,5,기준년월 / 관광지 코드 / 관광지 명칭 / 방문자 통계 분류 / 방문자 수
TOU011,관광,관광지 국적 방문통계관광지별 월 단위 외국인 방문객 통계,O,O,O,O,O,202007~202309,5,기준년월 / 관광지 코드 / 관광지 명칭 / 방문자 통계 분류 / 방문자 수
TOU012,관광,관광지 관광명소 정보관광지별 관광명소 정보,O,O,O,O,O,202006~202311,6,기준년월 / 관광지 코드 / 관광명소 명칭 / 위도 / 경도 / 집계구 코드
TOU013,관광,21년 관광지 해수욕장 코드 신한카드21년_관광지_해수욕장_코드_신한카드,O,O,O,O,O,202101~202105,4,해수욕장_권역 / 해수욕장_권역_이름 / 설명 / 기준년도
